senseid	   sense	sense_coll	sense_trans	headid
10065203	equipment		хэрэгсэл	100652
10065801		society, economy	саад бол, саад тотгор бол	100658
10066101	purpose		зорилго	100661
10066102	with weapon		юм руу шагайх, хүн рүү шагайх, юм руу чиглүүлэх,хү	100661
10066501			am not, is not, are not, has not, have not	100665
10066601	substance		агаар	100666
10066602	atmosphere, sky		агаар, тэнгэр	100666
10066603	RADIO	broadcaster, interviewee	радиогоор ярьж байх	100666
10066604	(manner)(of person)		төрх байдал, янз	100666
10066605	(aura)(of place)		өнгө төрх, янз байдал	100666
10066606	, music ,		ая	100666
10074501	in church, side passage		хажуу гудам (суудал, ханын хоорондын зай)	100745
10074502	centre passage		голын гудам	100745
10074503	passageway, in train, plane		дагуу гудам	100745
10074504	in cinema, shop		гудам	100745
10074601			дутуу хаасан, дутуу хаагдсан	100746
10074901	=also known as		 гэж бас нэрлэгдэх	100749
10075001	similar		төстэй байх	100750
10075002	tantamount		өөрцгүй  байх, ялгаагүй байх	100750
10075201			гипс	100752
10076401			Албани улс	100764
10077201	, chemistry ,		алхими	100772
10077202	FIG		ид шид	100772
10077901	free, wood		ншргэс мод	100779
10078001			хатуу шар айраг, пиво	100780
10078801			таримал царгас, бэд	100788
10079001			замаг	100790
10079801			хуурамч нэр	100798
10081401			шүлт	100814
10081501	everything	of them	бүгд, цөм	100815
10081502	the only thing		зөвхөн, ердөө	100815
10081503	everyone		бүгд, цөм, бүгдээрээ	100815
10081504	the whole amount		бүх зүйл	100815
10081505	emphasizing entirety		бүгдээрээ	100815
10089501		crash, row, explosion	лут, маш хүчтэй	100895
10090001	GEN	soar	дээш, өөдөө	100900
10090002		hold, seated, perched	дээр	100900
10090003	, nautical ,		шурагны хөндлөвч дээгүүр	100900
10091001	all contexts		лам гөрөөс (Lamopacos)	100910
10091801			бүр хэдийнэ	100918
10092001	GB (dog)		герман хоньч нохой	100920
10092002	native of Alsace		Альзац нутгийн хүн	100920
10092301			шүтээн	100923
10095001	GB		aluminum	100950
10095002	US		хөнгөн цагаан	100950
10095401			байнга, дандаа, хэзээд, үргэлж, ямагт	100954
10095701	abbrev=American Medical Association		Америкийн Эмнэлэгүүдийн Холбоо	100957
10097401			элчин сайд	100974
10099601	US		= amoeba	100996
10101401		person	эелдэг, уриалгахан, ялдам	101014
10101402		mood	эелдэг	101014
10101403		chat	нөхөрсөг	101014
10102101	abbrev=ammunition		галт хэрэгсэл, сум хэрэгсэл	101021
10102401			ойгүйдэл, ой санамжгүй болох	101024
10102801			амёб (нэг эстэн)	101028
10103701			ampere	101037
10103702	abbrev=amplifiier		өсгөгч, чангаруулагч	101037
10105001			Амстердам хот	101050
10105101	US		газар уснаа явагч байлдааны машин	101051
10105201	cause laughter		инээлгэ	101052
10105202	entertain	game, story	зугаацуул, хөгжөө	101052
10105203	occupy	activity, hobby	баясга, зугаацуул	101052
10106301			үеэ өнгөрөөсөн заншлыг мөрдөх, үеэ өнгөрөөсөн ёсыг	101063
10108601			African National Congress	101086
10108602			Африкийн үндэсний Конгресс	101086
10109801	joining words or clauses		ба, бас, болон	101098
10109804	for emphasis,alike		болон	101098
10110201		memoirs, account	инээдтэй, шог, хошин	101102
10110202		talk, lecture	хошин	101102
10110203			онигоо  ихтэй, шог яриа ихтэй	101102
10110801	, literal ,		сахиусан тэнгэр	101108
10110802	FIG		бурхан шиг хүн	101108
10113801	, literal , (creature, genus		амьтан, мал, адгуус	101138
10113802	brutish person		адгуус шиг	101138
10113803	FIG		ясны, угийн	101138
10115601			шагай	101156
10116101			цаг тооллын бичиг	101161
10118701	inoffensive		хал балгүй, гэм халгүй	101187
10118702	bland		үлбэгэр	101187
10120001	reply		хариу	101200
10120002	solution, (to difficulty, puzzle)		шийдвэр, хариу шийдэл	101200
10120003	, school , university ,		хариу	101200
10120901			шоргоолж	101209
10130301			хошногоны нүх, анус	101303
10130401	also , anatomy ,		дөш	101304
10130501	apprehension		түгшил, зовнил	101305
10130502	source of worry		шаналал	101305
10130503	eagerness		тогтож  ядах, байж ядах	101305
10130504	PSYCH		сэтгэлийн түгшүүр	101305
10130801	with negative, implied negative		огт, ерөөсөө	101308
10130802	in questions, conditional sentences		ямар нэгэн	101308
10130803	no matter which		аль ч, бүх, бүхэн	101308
10131901	pl -tas, tae		гол судас	101319
10132001			Аоста хот	101320
10132101	, literary ,		хурдан, түргэн	101321
10133201	of the family Pongidae		мич	101332
10133401			Апенниний нуруу	101334
10133801			ургамлын бөөс	101338
10134001			зөгийн буйр, зөгий тэжээх газар	101340
10134201			бүрэн хангалттай	101342
10134301	BIBLE		Шамбалын дайн, Апокалипс	101343
10134302	disaster, destruction		дэлхийн сүйрэл, гавал юүлэх	101343
10145601	April		дөрөвдүгээр сар	101456
10146401			сүмийн (зүүн үзүүрийн) дугуйрсан булан	101464
10146501	suitable	choice, description	таарсан	101465
10146502		titly, style	зохисон, тохирсон	101465
10146503	inclined		тэгэх  дуртай, ингэх дуртай, тэгчих гээд байх, инг	101465
10146901			акваланг, скафандр	101469
10147901		person	араб хүн	101479
10147902	horse		араб үүлдрийн морь	101479
10147903	mare		араб гүү	101479
10148701	, literal ,		арбитрийн шүүгч	101487
10148702	FIG		аксакал	101487
10149601	GEN, GEOM		нум	101496
10149602	, electricity ,		нум (цахилгаан)	101496
10152801	fervent	revolutionary, supporter	цогтой, бадрангуй	101528
10152802	defence, opposition		галтай, цогтой	101528
10152803	passionate		оргилуун, дүрэлзсэн	101528
10153301	be		=	101533
10153901			Аргентин улс	101539
10155001			хэт хуурай	101550
10155002	FIG		сонирхолгүй	101550
10155901	boat, in synagogue		хөлөг онгоц	101559
10156001	, anatomy , FIG		гар	101560
10156002	sieeve		ханцуй	101560
10156003	influence		эрх мэдэл, нөлөө	101560
10156004	of crane, robot, record player		гар	101560
10156005	of spectacles		гуя	101560
10156006	of chair		сандлын тохойвч	101560
10156007	(subsidiary) , politics , economy ,		салбар	101560
10156008	of sea		булан	101560
10160201			сэнгэнэсэн үнэр	101602
10161001			цуваа	101610
10161101	pnt in position	chairs, ornaments	тавь, байрлуул	101611
10161102		hair	засч янзал	101611
10161103		room, clothes	цэгцэл	101611
10161104		flowers	хий, хийж тавь	101611
10161105	organize	party, meeting,holiday	төлөвлө, зохион байгуул	101611
10161106		schedule	зохицуул	101611
10161107		date, appointment	товло	101611
10161108	bring about agreement on	loan, mortgage	хэлэлцэж тохир	101611
10161109		price	тохиролц	101611
10161110	, music ,	piece	хөрвүүлэг хий	101611
10163101	, literal ,		зэвсгийн агуулах	101631
10163102	FIG		нөөц	101631
10163501	creation, activity,representation		урлаг	101635
10163502	skill		ур, ур чадвар	101635
10168801	person		Энэтхэг-Европ овгийн хэлээр ярьдаг хүн, Энэтхэг-Ев	101688
10168802	in Nazi adeology		арий хүн, цэвэр цусны хүн	101688
10170001			шөрмөсөн чулуу, асбест	101700
10170101		steps	өснө	101701
10170102		hill	авир	101701
10171101		wound	цэвэр, цэвэрлэсэн	101711
10171301	after burning		үнс	101713
10171302	tree, wood		нүцгэн ховол	101713
10172301			Ази тив	101723
10173201	enquire as to	name, reason	асуу	101732
10173202	request	permission, tolerance	хүс	101732
10173203	invite	person	урь	101732
10173801			унтаж байх	101738
10173802	falling asleep		үүрэглэх	101738
10173901	, zoology ,		загалмайт могой	101739
10176001	donkey		илжиг	101760
10176002	fool		тэнэг, маанаг	101760
10182901			од (*) тэмдэг	101829
10184301			каракул арьс	101843
10186301	refuge		орогнол	101863
10186302	hospital		эмнэлэг	101863
10186801		instinct, fear	хүний угийн	101868
10186901	eat			101869
10187001			атеизм, шашингүйн үзэл, шашинд үл сүсэглэх үзэл	101870
10187901			Атлантын далай	101879
10188401	abbrev		automatic teller machine	101884
10188801	, physics ,		атом	101888
10188802	FIG		жижиг хэсэг, өчүүхэн хэсэг	101888
10189801	horrifying		аймшигтай	101898
10189802	bad		атгаг	101898
10190301	fasten	object	уя, холбо	101903
10190302	to letter		хавсарга	101903
10190303	to organization		юманд эллсэн бай, юманд  нэгдсэн бай	101903
10190304	attribute		холбож үз, хамааруулж үз	101903
10195601	GB		хаш, чэс	101956
10195801			дуудлага худалдаа	101958
10196401			зоримог	101964
10198601	written in full as August		найман сар	101986
10199301	sister of someone's father		авга эгч	101993
10199302	sister of someone's mother		нагац эгч	101993
10199303	wife of someone's uncle		авга ахын эхнэр, нагац ахын эхнэр	101993
10199304	unrelated women		эгч	101993
10199401			тоть- хошууч	101994
10199701	of person		увидас	101997
10199702	of place		сэтгэл сэргээх байдал	101997
10200101			ээлтэй, өлзийтэй	102001
10201301	absolute sovereignty		ганцаар захирах ёс	102013
10201302	despotism		хэмжээгүй эрхт төр	102013
10205501	nurse		асрагч	102055
10205502	troops		нэмэлт хүч	102055
10205503	, linguistics ,		туслах үйл үг	102055
10205901	FML		ашиг гарахгүй	102059
10206801	=Avenue		өргөн чөлөө	102068
10208001			шувууны торон хашаа	102080
10208801	fruit		авгад (бэрс модны жимс)	102088
10208802	plant		бэрс мод	102088
10209401			дотно, элгэмсэг	102094
10209501			хүлээ	102095
10209902	from sleep		сэрээ	102099
10209903	FIG	fear, suspicion	төрүүл	102099
10211301			сүрдэх	102113
10211302	less fearful		бишрэх	102113
10211701			муу, муухай	102117
10211702	stronger		ой гутам	102117
10211703	horrifying, tradic		аймаар, аймшигтай	102117
10211704	unwell		муу байх	102117
10211705	guilty		гэмших	102117
10211706	emphasizing		аймаар олон, аймаар  их	102117
10211901	not practical	tool	хэрэглэхэд төвөгтэй	102119
10211902		shape, design	тохиромжгүй, зохимжгүй	102119
10211903	clumsy		болхи, эв хавгүй	102119
10211904	complicated, incovenient	arrangement, issue	эвгүй	102119
10211905		choice	хэцүү	102119
10211906		moment, day	эвгүй, хачин, хэцүү	102119
10211907	embarrassing	question, silence, situation	эвгүй	102119
10211908	embarrassed		аягүй, эвгүй	102119
10211909	uncooperative	person	хэцүү, бэрх	102119
10212201	for leather, wood		шөвөг	102122
10212301	on shop tent, caravan, house, restaurant,		сүүдрэвч	102123
10212302	market stall		сүүдрэвч	102123
10212701			хазгай, далий	102127
10212901	US		сүх	102129
10213101			аксиом	102131
10213401			тэнхлэг	102134
10213501	GB DIAL		зөв өө	102135
10213801			Азербайжан	102138
10214101			Азорын арлууд	102141
10214201	abbrev		azidothymidine	102142
10214202			азидовидин (эм), азидовидин	102142
10214501			номин хөх, цэнхэр	102145
15000201	GB abbrev		Civil Aviation Authority	150002
15000301	taxi		такси	150003
15000302	for driver		бүхээг	150003
15003301	hoard		нууцалсан зүйл	150033
15003302	place		нууц агуулах, нууц газар	150033
15003901	abbrev		computer-aided design	150039
15005301	, computing , (abbrev = computer-aided engineering)		компьютерийн тусламжтайгаар бүтээх	150053
15005501	GEN		кафе, цайны газар	150055
15005502	US (restaurant)		баар	150055
15005801	for bird, animal		тор	150058
15005802	of lift, in mine		цахилгаан шат	150058
15005803	in ice-hockey		хаалга	150058
15006301			хуйвалдаан, үгсээ	150063
15006401			Кейн (Адам Ева хоёрын анхны хүүхэд)	150064
15006701			аргал, баширла	150067
15006901	, culinary ,		бялуу	150069
15006902	sponge		цоозгой	150069
15006903	of soap, wax		дөрвөлжин зүссэн юм	150069
15006904	of fish, potato		котлет	150069
15007401	computer-aided learning			150074
15015201	, technology ,		нударга, нударгат тулгуур	150152
15019601	skill, knowledge, ability, power to		Vicc чадна	150196
15019602	expressing permission, making suggestions		Vidv болох	150196
15019605	when		Vicc болно	150196
15027501	headgear, peaked		тэвхүүз (малгай)	150275
15027502	of nurse		талгай, оройвч	150275
15027503	cover, of pen, valve		толгой	150275
15027504	of bottle		бөглөө	150275
15027505	for camera lens		таг, таглаа	150275
15027506	of mushroom		орой	150275
15027507	for toy gun		бялт, сум	150275
15027508	for tooth		ломбо	150275
15027509	GB		ерөндөг	150275
15034501	, automobile ,		автомашин	150345
15034502	RAIL		вагон	150345
15034503	US		трамвай	150345
15052901	of water		бага хүрхрээ	150529
15052902	, computing ,		дараалуулан байрлуулах	150529
15061201	domestic		муур	150612
15061202	female		эм муур	150612
15061203	feline		мий	150612
15061204	, pejorative , (woman)		хорон эм	150612
15069201	white person		цагаан арьстан	150692
15069202	, geography , (inhabitant)		европоид хүн	150692
15071001	on horseback		морьтны жагсаал	150710
15071002	motorized		цуваа	150710
15073101	noise		гуагалах дуу	150731
15073102	cry		гуагалан хашгирах	150731
15073601	abbrev=Confederation of British Industry		Британийн аж үйлдвэрийн холбоо	150736
15073901	=closed-circuit television			150739
15074101	abbrev=compact disc interactive		мультимедиа өгөгдлийн диск	150741
15074301	, military ,		командлагч	150743
15074501			зогсолт, тасралт	150745
15075201			гуш, ливан гуш	150752
15075501	, literal ,		тааз, адар	150755
15075502	FIG		дээд хязгаар	150755
15075801		occasion	тэмдэглэ	150758
15075802	more formally		тэмдэглэн өнгөрөө, тэмдэглэ	150758
15075803	RELIG	mass, Easter	ёсол, тэмдэглэ	150758
15075804	pay tribute to		хүндэтгэл үзүүл	150758
15078501	, construction ,		цемент	150785
15078502	in dentistry		ломбо	150785
15078503	FIG		гагнаас	150785
15078504	of relationship, agreement		амин сүнс, цөм	150785
15078901			нэр нь үл мэдэгдэх цэргийн хөшөө	150789
15084201			вааран эдлэл,шавар эдлэл	150842
15086901			угаадасны нүх, муу усны сан	150869
15087001	, history ,		Арслан тив	150870
15087201	, ecology , (abbrev=chlorofluorocarbon)		хлорфторт нүүрстөрөгч	150872
15087301	GB (abbrev=College of Further Education)		боловсрол дээшлүүлэх коллеж	150873
15087501			Чад улс	150875
15105601	not expensive		хямд	151056
15105602	, pejorative , (shoddy)		хямдхан, чанар муутай, муу	151056
15105603	, pejorative , (easy)	gimmick, joke	дэмий, балай	151056
15105604	, pejorative , (mean)	trick, liar	балиар, адгийн	151056
15117301			гэрэл сүүдрийн ялгарал	151173
15129701			хлорид	151297
15130501			ивүүр, шаантаг	151305
15137101			Христ, Есүс Христ	151371
15140501		child	мариатай, бандгар	151405
15140502		finger	булцгар	151405
15140503		cheek	цулцгар	151405
15140504		face, cherub	булцгар	151405
15140505		adult	тарган, бүдүүн, бандгар	151405
15144101			нөмрөг	151441
15144201	GB (abbrev=Criminal Investigation Department)		Эрүүгийн цагдаагийн Мөрдөн байцаах газар	151442
15144601			навчин тамхи	151446
15145701			амар байх	151457
15147101	code		шифр, нууц түлхүүр	151471
15147102	, mathematics ,		тэг	151471
15147103	Arabic numeral		араб цифр	151471
15147104	monogram		овог нэрийн эхний үсгүүд	151471
15147201			орчим, ойролцоогоор	151472
15150901	abbrev=Commonwealth of Independent States		ТУХН (Тусгаар Улсуудын Хамтын Нөхөрлөл)	151509
15151201			цайз	151512
15153801		administration	хотын	151538
15153802		official	хотын захиргааны	151538
15153803		pride, responsibility	иргэний	151538
15156501			хувцасласан, өмссөн	151565
15165801			цэвэрлэгээ	151658
15173001			улиг үг	151730
15178401	=councillor			151784
15178501	garment		нөмрөг	151785
15178502	long, worn by men		жанч	151785
15178503	FIG (front, cover)	operation etc	халхавч	151785
15189101	society		дугуйлан	151891
15189102	nightclub		шөнийн клуб	151891
15189103	SPORT		клуб, нийгэмлэг	151891
15189104	stick		шийдэм, бороохой, манцуу	151891
15189105	for golf		цохиур	151891
15189106	at cards		цэцэг хөзөр	151891
15192501	, military ,		Ахлагч, коммандир	151925
15192601			цөмийн зэвсгийг хураахын төлөө хөдөлгөөн	151926
15193001	bus		хот хоорондын автобус, жуулчны автобус	151930
15193002	GB of train		суудлын вагон	151930
15193003	SPORT		дасгалжуулагч	151930
15193004	for drama, voice		давтуулагч	151930
15193005	tutor		хувийн багш	151930
15193006	horsedrawn (for royalty)		сүйх тэрэг	151930
15193007	for passengers		морин тэрэг	151930
15198701	horse		одой адуу	151987
15198702	swan		хун	151987
15198703	of maize		амууцаг	151987
15198704	GB (nut)		махлаг түрүү, боргоцой	151987
15198705	GB , technology ,		сүрлэн тоосго	151987
15199601			кокаин	151996
15203901	, zoology ,		саамхай загас	152039
15203902	, culinary ,		шинэхэн саамхай загас	152039
15205101	abbrev=coeducational		хамтын сургалтын	152051
15205901	commodity, liquid		кофе	152059
15205902	a cup of coffee		кофе	152059
15207701	TEC (teeth)		шүд	152077
15207702	wheel		араа	152077
15208601			нэг гэрт ор	152086
15209401	of rope, barbed wire		ороомог, баглаа, эвхээс	152094
15209402	of electric wire		ороомог	152094
15209403	of smoke		цагираг, гогцоо	152094
15209404	of hair		мушгираа	152094
15209405	of snake		цагираглах	152094
15209406	contraceptive		ерөндөг	152094
15210701	fuel		кокс, шатанги нүүрс	152107
15210702	cocaine		кокаин	152107
15210801			хурандаа	152108
15223001			ухаангүй байх	152230
15246001	, military ,		сумангийн захирагч	152460
15256901			ичих нүүр	152569
15400401	thicket		шугуй, ширэнгэ	154004
15401201	cattle		үнээ	154012
15401202	other animal		эмэгчин амьтан	154012
15402801			залагч	154028
15403101		smile, look	ичингүйрсэн	154031
15403102	reticent		дугай, нууцлаг	154031
15403401	cosy			154034
15403501	Central Processing Unit			154035
15403701			хавч	154037
15411901	of hinge		хяхтнаан	154119
15411902	of floorboard		чихраан	154119
15420701	cot		нялх хүүхдийн ор	154207
15420702	Nativity		тэвш	154207
15420703	illict aid		будаа идэх	154207
15420704	translation		үгчилсэн орчуулга	154207
15420705	borrowing		зохиолын хулгай, зохиолоос хуулах	154207
15426001	of frog		ваагалах	154260
15436601			шийдвэрлэх ач холбогдолтой	154366
15441501	of person		хашгирах	154415
15441502	of bird		чарлалт	154415
15443501			зулзага	154435
15444501			хөхөө	154445
15444801			хивэх	154448
15444802			нэг юмыг өчнөөн төчнөөн бодох	154448
15445401	lne		өдлөг үг	154454
15445402	action		дохио, зангаа	154454
15445403			дохио	154454
15445404			(биллиардын) цохиур, ёвруур	154454
15445501	at wrist		нударга	154455
15445502	on shirt		манжэт	154455
15445503	on trousers		шуумагны эргүүлэг	154455
15445504	blow		алгадах	154455
15445801			хоол	154458
15446001		equipment	гал тогооны	154460
15446002		skill	хоол хийх	154460
15448301		luggage, furniture	нүсэр, овортой	154483
15448302		method, phrase	төвөгтэй, яршигтай	154483
15448601	of person		заль, мэх	154486
15448602	nastier		овжин арга	154486
15448603	of animal		бааш,  заль	154486
15448901	object, contents		аяга	154489
15448902			цом	154489
15448903	in bra		аяга	154489
15448904	of flower		дэлыээ, дэлбэн	154489
15449801	dog		зуудаг (холимог үүлдрийн) нохой	154498
15449802	man		олиггүй хүн	154498
15456101			дэр (буйдангийн)	154561
15456102	protection, reserve		жийрэг, зөөвөлч	154561
15458901	incision		огтлолт, исгэлт	154589
15458902	in surgery		зүслэг, зүсэлт	154589
15458903	wound		яралт	154589
15458904	hairstyle		засалт	154589
15458905	share		хувь	154589
15458906	reduction		бууралт	154589
15458907	trim	hair, grass	тайрах	154589
15458908			хэрчим, зүсэм	154589
15458909	of diamond		талст	154589
15458910	of suit, jacket		хэв маяг, загвар	154589
15458911	removal of footage		танах, тайрах	154589
15458912	shot		хайчлах, хасах	154589
15458913	in editing		хасалт, таналт, товчлолт	154589
15458914	track		бичлэг	154589
15462901	hundredweight			154629
15463001			цианид	154630
15463101			кибернетик	154631
15463201	series		мөчлөг	154632
15463202	bicycle		(унадаг) дугуй	154632
15464801			хунгийн дэгдээхэй	154648
15464901			бортого, цилиндр	154649
15464902	of revolver		хүхээ	154649
15464903	also hot water cylinder		халуун усны бортого, халуун усны торх	154649
15465101			цан	154651
15465201			сонжимхой хүн, сонжоотой хүн	154652
15465601			cipher	154656
15465901			кирилл, кирилл цагаан толгойн	154659
15466001			уйланхай	154660
15466002			хүүдий	154660
15466101			хаан	154661
15466201	person		Чех хүн	154662
15466202	language		чех хэл	154662
15470101	of dove		гүегнэх	154701
15475301			дарсны үйлчилгээний хөлс	154753
15486801	police officer		цагдаа	154868
15490601			аальгүйтэх	154906
15500101			бороохой	155001
15503401	for baby		хүүхдийн ор	155034
15503402	bed		эвхдэг (аяны) ор	155034
15505001	sofa		буйдан	155050
15505002	doctor's psychoanalyst's		вандан ор	155050
18000301	of paint, butter		түрхэц	180003
18000701			Дакка	180007
18000901	child speaker		аав	180009
18000902	adult speaker		эцэг	180009
18000903	old man , humorous ,		өвөө	180009
18001201			хуурамч нарцисс	180012
18001501			чинжаал хутга	180015
18001701	newspaper		өдөр тутмын сонин	180017
18001702	GB(help)		гэрийн үйлчлэгч	180017
18002901			хөндий	180029
18003101	construction		далан	180031
18003102	to prevent flooding		үерийн далан	180031
18005701	GEN		бүжиг	180057
18005702	social occasion		нийтийн бүжиг	180057
18008001			дэгжин	180080
18008301			хүчээ сорих	180083
18011201	rush		чавхдах,харвах,хурдлах	180112
18011202	small amount(of liquid)		дусал	180112
18011203	of powder		чимх	180112
18011204	of colour		үл ялиг	180112
18011205	flair		авьяас	180112
18011206	punctuation		хөндлөн зураас	180112
18011207	in morse code		зураас	180112
18011801	general	mining	мэдээ,тоо баримт	180118
18011802	computer		өгөгдөл	180118
18015201	painting		оронцоглосон зураг	180152
18015801			мунгина,уд	180158
18016301	24 hour period		хоног,өдөр	180163
18016302	until evening		өдөр	180163
18016303	as opposed to night		өдөр	180163
18016304	specific		онцгой өдөр	180163
18016305	as historical period		үе	180163
18018501	from blow		манарах	180185
18018502	from drug		мансуурах	180185
18018503	from news		алмайрах	180185
18018504	feeling vague		дүйнгэтэх	180185
18019001	, computing , abbrev=database management system			180190
18019301	abbrev=distributed data processing			180193
18019501	people		үхэгсэд	180195
18019502	FIG depths		дөл, дүн	180195
18026201			сүйрэл	180262
18028901	abbrev=December			180289
18037801	devote	life,time,book,performance	зориул	180378
18037802	RELIG	church,shrine	аравнайлан,ариул	180378
18038501	action		үйл,үйл хэрэг	180385
18038502	for proporty		баримт,баримт бичиг	180385
18041301		wall,door	эрээч,сараач	180413
18041302		painting,monument	эрээн цоохор болго,эрээчиж сүйтгэ	180413
18048101			адгийн шаар,доожоогүй амьтан	180481
18049101			усгүйжүүл,усгүй болго	180491
18049501			гийгүүл,соёрх	180495
18049701			гутарсан,гуньсан,сэтгэлээр унасан	180497
18049801	of train,plane,post		саатал,хоцролт	180498
18049802	slowness		алгуурлалгүй,даруй,бушуу	180498
18049803	time lapse		хүлээлгэх  хугацаа, хүлээлгэсэн хугацаа	180498
18054601	request		эрэлт хүсэлт	180546
18054602		divorce,access	хүссэнээр,шаардсанаар	180546
18054603		payable	нэхмэгц,шаардмагц	180546
18054604	pressure		шаардлага	180546
18054605	, economy ,		эрэлт	180546
18054606	favour		хэрэгцээтэй байх	180546
18058801	of lion		үүр хэвтэш	180588
18058802	of fox		үүр,ноохой	180588
18058803	room		чимээгүй өрөө,булан	180588
18058804	secret meeting place		үүр уурхай	180588
18061801	personal		дезодрант,үнэр дарагч	180618
18061802	for room		үнэр дарагч	180618
18062001	FML		яв,хөдөл,гар	180620
